DOI,Bed,Author,PubDate,ISO3,PopCNTY,HRNTYR,YCoord,XCoord,GeoPosMethod,GeoUncert,StartDate,EndDate,StudyPeriod,Species,Setting,SampleType,InfectionType,Pathogens,Strain,Drug,Compound,HNinf,HRes
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,CEP,CRO,95,0.01
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,CEP,CRO,25,0.92
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,CEP,CXM,95,0.03
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,CEP,CXM,25,1
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,TET,DOX,95,0.44
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,TET,DOX,25,0.92
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,AMI,GEN,95,0.08
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,AMI,GEN,25,0.92
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,CAR,IPM,95,0
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,CAR,IPM,25,0
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,OTH,NIT,95,0.05
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,OTH,NIT,25,0.2
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,PEN,PIT,95,0
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,PEN,PIT,25,0
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,lactose fermenting,SUL,SXT,95,0.55
https://doi.org/10.4236/ojmm.2019.91001,,Shatalov,2019,AGO,29482107,,-8.82,13.23,Place,NA,15/07/2018,15/12/2018,153,Human,Hospital,Urine,UTI,E. coli,non lactose fermenting,SUL,SXT,25,0.92
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,A. baumannii,NA,AMI,AMK,9,0.333
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,A. baumannii,NA,QUI,CIP,9,0.556
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,A. baumannii,NA,POL,CST,8,0
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,A. baumannii,NA,POL,CST,9,0
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,A. baumannii,NA,AMI,GEN,9,0.556
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,A. baumannii,NA,CAR,IPM,9,0.556
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,A. baumannii,NA,CAR,IPM,8,0.375
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,A. baumannii,NA,CAR,MEM,9,0.556
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,PEN,AMC,40,0.8
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,AMI,AMK,40,0.1
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,PEN,AMP,40,1
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,CEP,CAZ,40,0.82
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,QUI,CIP,40,0.7
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,CEP,CTX,40,0.9
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,CAR,ERT,40,0.06
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,CEP,FEP,40,0.44
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,OTH,FOF,40,0.12
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,AMI,GEN,40,0.62
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,CAR,IPM,40,0
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,CAR,MEM,40,0.02
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,QUI,NOR,40,0.82
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,PEN,PIT,40,0.34
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Rectal,NA,Enterobacteriaceae spp.,NA,SUL,SXT,40,0.62
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,AMI,AMK,8,0.375
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,MON,ATM,8,0.5
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,CEP,CAZ,8,0.5
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,QUI,CIP,8,0.75
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,CEP,FEP,8,0.5
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,AMI,GEN,8,0.75
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,CAR,MEM,8,0.25
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,PEN,PIP,8,0.5
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,PEN,PIT,8,0.5
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,NA,NA,P. aeruginosa,NA,AMI,TOB,8,0.75
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,MAC,CLI,15,0.733
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,MAC,ERY,15,0.733
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,OTH,FOF,15,0.267
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,OTH,FUS,15,0.067
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,AMI,GEN,15,0.867
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,OTH,LIZ,15,0
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,QUI,LVX,15,0.867
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,QUI,MXF,15,0.8
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,OTH,NIT,15,0
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,PEN,OXA,15,1
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,PEN,PEN,15,1
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,OTH,RIF,15,0.733
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,SUL,SXT,15,0
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,GLY,TEC,15,0
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,TET,TET,15,0.8
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,TET,TIG,15,0
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,AMI,TOB,15,0.933
DOI: 10.1186/s13756-016-0128-1,1555,Parascandalo,2016,ALB,2885364,0.0857647,41.34,19.83,Place,NA,1/4/15,30/04/2015,30,Human,Hospital ,Nasal,NA,S. aureus,MRSA,GLY,VAN,15,0
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MSSA,QUI,CIP,76,0.144736842
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MSSA,MAC,CLI,76,0.407894737
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MSSA,MAC,ERY,76,0.407894737
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MSSA,AMI,GEN,76,0.131578947
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MSSA,OTH,RIF,76,0.013157895
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MRSA,MAC,ERY,20,0.65
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MRSA,MAC,CLI,20,0.65
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MRSA,QUI,CIP,20,0.5
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MRSA,OTH,RIF,20,0.1
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MRSA,AMI,GEN,20,0.2
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MRSA,AMI,TOB,20,0.35
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MRSA,OTH,MUP,20,0
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MRSA,SUL,SXT,20,0
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MSSA,AMI,TOB,76,0.078947368
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MSSA,OTH,MUP,76,0.039473684
https://doi.org/10.1016/j.ram.2016.12.007,183,Boncompain,2017,ARG,42858582,0.055,-32.94,-60.67,Place,NA,15/08/2014,15/12/2014,153,Human,Hospital,Nasal swab,NA,S. aureus,MSSA,SUL,SXT,76,0
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,PEN,PIT,172,0.983
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,CEP,CRO,172,0.983
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,CEP,CAZ,172,0.924
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,CEP,FEP,172,0.953
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,CAR,IPM,172,0.855
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,CAR,MEM,172,0.849
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,QUI,CIP,172,0.977
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,POL,CST,172,0
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,AMI,AMK,172,0.814
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,AMI,GEN,172,0.831
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Acinetobacter spp.,NA,AMI,TOB,172,0.622
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,PEN,PIT,277,0.058
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,CEP,CRO,277,0.177
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,CEP,CAZ,277,0.123
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,CEP,FEP,277,0.083
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,CAR,IPM,277,0.004
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,CAR,MEM,277,0
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,QUI,CIP,277,0.412
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,POL,CST,277,0
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,AMI,AMK,277,0
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,AMI,GEN,277,0.166
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,E. coli,NA,AMI,TOB,277,0.185
doi:10.1016/j.diagmicrobio.2012.04.007,,Gales,2012,ARG,42858582,0.06,-34,-64,Place,NA,15/01/2008,15/12/2010,1065,Human,Hospital,NA,NA,Enterobacter spp.,NA,PEN,PIT,74,0.284
